Status	CodigoSAP	Conta	CUP	Negocio	OrganizacaoVendas	ListaPrecoCodigo	ListaPrecoNome	DataFixacaoPreco	GrupoPreco	CondicaoPagamento	CodigoCondicaoPagamento	CodigoProduto	StatusVenda	M2PorCx	ClasseUso	CoefAtrito	Origem	Diferenciais	Produto	QtdePallet	Espessura	Hierarquia1	Hierarquia2	Hierarquia3	CodigoBarras	NCM	CEST	PesoBruto	PesoLiquido	UnidadeMedidaPeso	Moeda	PercentualAcrescimo	PercentualAVP	ValorAVP	PercentualMVA	ValorLista	ValorPis	PercentualPis	ValorCofins	PercentualCofins	ValorICMS	PercentualICMS	ValorIPI	PercentualIPI	ValorICMSST	ValorLiquido	ValorMercadoriaVista	ValorMercadoriaPrazo	ValorDaNF	QtdeMultiplaPorEmbalagem	PercentualDescontos	PercentualIcmsDestino	ValorIcmsDestino	ValorIB3S	ValorCBS3
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.23060.17	DECA MIX GERAL						CUBA SOBREPOR RETANGULAR 60cm BRANCO	0		Deca - Peca Grande	Luxo	Cuba Slim	'7894202012830	6910.90.00		12,918	12,918	KG	BRL	0	0,88	4,82	0	576,25	10,18	1,65	46,9	7,6	84,15	12	0	0	0	581,07	695,11	701,28	701,28	1	0	23	2,3	0,56	5,04
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'TP.101.95	DECA MIX GERAL						TAMPA TOPO P/CAIXA ACOPLADA CD01-EBANO	0		Deca - Peca Pequena	Pecas de Reposição	Tampas Cx. Médio	'7894200720096	6910.90.00		2,238	2,238	KG	BRL	0	0,88	0,28	0	31,44	0,58	1,65	2,69	7,6	4,83	12	0	0	0	31,72	39,93	40,28	40,28	1	0	23	2,3	0,03	0,29
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'TP.00.51	DECA MIX GERAL						TAMPA P/CAIXA ACOPLADA CD00-AZUL	0		Deca - Peca Pequena	Pecas de Reposição	Tampas Cx. Competitivo	'7894200775003	6910.90.00		2,182	2,182	KG	BRL	0	0,88	0,6	0	68,45	1,27	1,65	5,86	7,6	10,52	12	0	0	0	69,05	86,91	87,68	87,68	1	0	23	2,3	0,07	0,63
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'A.680.17							CABIDE-BRANCO	0		Deca - Peca Pequena	Pecas de Reposição	Peca Reposição	'7894200710578	6912.00.00		0,399	0,377	KG	BRL	0	0,88	0,16	0	18,56	0,35	1,65	1,59	7,6	2,85	12	1,55	6,5	0	18,72	23,56	23,77	25,32	1	0	23	2,3	0,02	0,17
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'AP.32E.17							ASSENTO POLIEST DREAM-BRANCO/CR-DURATREE	0		Deca - Peca Pequena	Luxo	Assento Poliéster Luxo	'7894200795544	3922.20.00		5	4,5	KG	BRL	0	0,88	2,45	0	309,13	5,18	1,65	23,84	7,6	42,77	12	0	0	0	311,58	353,27	356,41	356,41	5	0	23	2,3	0,28	2,56
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'AP.416.94	DECA MIX GERAL						ASS TERM SLOW POLO/UNIC/AXIS- EB FSC	0		Deca - Peca Pequena	Médio	Assento Termofixo Médio	'7894202013509	3922.20.00		1,5	1,5	KG	BRL	0	0,88	1,73	0	218,65	3,62	1,65	16,7	7,6	9,15	4	0	0	0	220,38	226,82	228,83	228,83	0	0	23	2,3	0,2	1,79
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'LM.10A.17							LAVATORIO MED BELIZE-A-BRANCO	0		Deca - Peca Grande	Competitivo	Belize	'7894200784401	6910.90.00		8,496	8,496	KG	BRL	0	0,88	0,56	0	64,04	1,19	1,65	5,49	7,6	9,84	12	0	0	0	64,6	81,31	82,03	82,03	1	0	23	2,3	0,07	0,59
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'LX.101.17	DECA MIX GERAL						LAV CANTO 300X300X 410MM IZY-BRANCO	0		Deca - Peca Grande	Competitivo	Lavatório/Coluna Univ.Competitivo	'7894202008826	6910.90.00		5,504	5,504	KG	BRL	0	0,88	0,44	0	55,56	0,93	1,65	4,28	7,6	7,69	12	0	0	0	56	63,49	64,05	64,05	1	0	23	2,3	0,05	0,46
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'CD.88F.17	DECA MIX GERAL						CAIXA ACOPLADA LK TOTAL CLEAN - BRANCO	0		Deca - Peca Grande	Luxo	LK Total Clean	'7894202003753	6910.90.00		15,523	14,777	KG	BRL	0	0,88	4,23	0	480,2	8,85	1,65	40,74	7,6	22,34	4	0	0	0	484,43	553,51	558,42	558,42	1	0	23	2,3	0,49	4,38
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'SP.121.BL.MT							PARAFUSO FIX LAT BACIA LUXO/MEDIO -BL MT	0		Deca - Peca Pequena	Outros PP	Produtos Complementares	'7894200730491	7318.15.00		0,1	0,06	KG	BRL	0	0,88	0,27	0	30,56	0,57	1,65	2,62	7,6	4,7	12	2,54	6,5	0	30,83	38,81	39,15	41,69	1	0	23	2,3	0,03	0,28
